top - 15:16:29 up  4:55,  1 user,  load average: 1.35, 1.30, 1.18
Tasks: 312 total,   2 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s): 77.1 us, 18.6 sy,  0.0 ni,  4.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15882.5 total,   4284.5 free,   4082.5 used,   7515.5 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  10664.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  81426 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  83012 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  85616 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
  85983 aniketd+  20   0  812812  49764  38796 S   0.0   0.3   0:00.52 gnome-t+
  85990 aniketd+  20   0   10880   5180   3484 S   0.0   0.0   0:00.02 bash
  86172 aniketd+  20   0   36.7g 150040 112088 S   0.0   0.9   0:04.77 code
  86181 aniketd+  20   0   32.4g  47848  39748 S   0.0   0.3   0:00.03 code
  86182 aniketd+  20   0   32.4g  46744  38768 S   0.0   0.3   0:00.01 code
  86195 aniketd+  20   0   32.0g   2416   2224 S   0.0   0.0   0:00.00 chrome_+
  86230 aniketd+  20   0   32.4g  63368  54396 S   0.0   0.4   0:00.10 code
  86300 aniketd+  20   0   44.6g 145236 100804 S   0.0   0.9   0:04.83 code
  86329 aniketd+  20   0   36.6g  78856  58616 S   0.0   0.5   0:01.03 code
  86383 aniketd+  20   0   36.6g  73824  57764 S   0.0   0.5   0:00.39 code
  86403 aniketd+  20   0  803360  80452  11572 S   0.0   0.5   0:01.22 terrafo+
  86448 aniketd+  20   0   11036   5468   3668 S   0.0   0.0   0:00.03 bash
  88093 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  88336 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  89291 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  89293 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  89504 aniketd+  20   0   36.5g  69992  53860 S   0.0   0.4   0:00.38 code
  89759 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  89760 root      20   0 7346108  78348  28204 S   0.0   0.5   0:03.31 java
  90154 root      20   0   16920   5712   5004 S   0.0   0.0   0:00.11 systemd+
  90376 aniketd+  20   0  774536 107692  39476 S   0.0   0.7   0:02.65 terrafo+
  90658 aniketd+  20   0  714672  14100  10692 S   0.0   0.1   0:00.04 terrafo+
